2023-08-07 16:03:37,239 INFO    StreamThr :1830 [internal.py:wandb_internal():86] W&B internal server running at pid: 1830, started at: 2023-08-07 16:03:37.239110
2023-08-07 16:03:37,243 DEBUG   HandlerThread:1830 [handler.py:handle_request():144] handle_request: status
2023-08-07 16:03:37,244 INFO    WriterThread:1830 [datastore.py:open_for_write():85] open: /home/me/Uni/ViT/wandb/run-20230807_160337-zg2njjo0/run-zg2njjo0.wandb
2023-08-07 16:03:37,244 DEBUG   SenderThread:1830 [sender.py:send():379] send: header
2023-08-07 16:03:37,244 DEBUG   SenderThread:1830 [sender.py:send():379] send: run
2023-08-07 16:03:37,696 INFO    SenderThread:1830 [dir_watcher.py:__init__():211] watching files in: /home/me/Uni/ViT/wandb/run-20230807_160337-zg2njjo0/files
2023-08-07 16:03:37,696 INFO    SenderThread:1830 [sender.py:_start_run_threads():1122] run started: zg2njjo0 with start time 1691417017.238736
2023-08-07 16:03:37,697 DEBUG   SenderThread:1830 [sender.py:send_request():406] send_request: summary_record
2023-08-07 16:03:37,697 INFO    SenderThread:1830 [sender.py:_save_file():1376] saving file wandb-summary.json with policy end
2023-08-07 16:03:37,708 DEBUG   HandlerThread:1830 [handler.py:handle_request():144] handle_request: check_version
2023-08-07 16:03:37,709 DEBUG   SenderThread:1830 [sender.py:send_request():406] send_request: check_version
2023-08-07 16:03:37,795 DEBUG   HandlerThread:1830 [handler.py:handle_request():144] handle_request: run_start
2023-08-07 16:03:37,799 DEBUG   HandlerThread:1830 [system_info.py:__init__():31] System info init
2023-08-07 16:03:37,799 DEBUG   HandlerThread:1830 [system_info.py:__init__():46] System info init done
2023-08-07 16:03:37,800 INFO    HandlerThread:1830 [system_monitor.py:start():181] Starting system monitor
2023-08-07 16:03:37,800 INFO    SystemMonitor:1830 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-08-07 16:03:37,800 INFO    HandlerThread:1830 [system_monitor.py:probe():201] Collecting system info
2023-08-07 16:03:37,800 INFO    SystemMonitor:1830 [interfaces.py:start():190] Started cpu monitoring
